Station: Mäkelänkatu  Periodically: 27/09/2018 00:01-11/10/2018 00:00  Type: AVG 1 Hr. [1 Hr.];;
;;
Date & Time;PM10;PM2_5
;ug/m3;ug/m3
27/09/2018 01:00;-0.7;0
27/09/2018 02:00;2;0.7
27/09/2018 03:00;2.2;1
27/09/2018 04:00;4;1.9
27/09/2018 05:00;5.9;2.6
27/09/2018 06:00;6.2;2.5
27/09/2018 07:00;9.1;4.4
27/09/2018 08:00;13.1;5.3
27/09/2018 09:00;12.7;4.6
27/09/2018 10:00;13.4;5
27/09/2018 11:00;21.2;5
27/09/2018 12:00;13.6;4.2
27/09/2018 13:00;14.6;4.4
27/09/2018 14:00;15.3;4.5
27/09/2018 15:00;14.9;4.3
27/09/2018 16:00;16.6;4.8
27/09/2018 17:00;14.2;5.7
27/09/2018 18:00;14.6;6.5
27/09/2018 19:00;18.2;7.8
27/09/2018 20:00;11.5;4.7
27/09/2018 21:00;12.8;4.8
27/09/2018 22:00;14.1;5
27/09/2018 23:00;12;4.1
27/09/2018 24:00;6.7;1.6
28/09/2018 01:00;4.9;0.9
28/09/2018 02:00;6.9;2.1
28/09/2018 03:00;3.9;0.8
28/09/2018 04:00;3.1;2.2
28/09/2018 05:00;4.1;3.4
28/09/2018 06:00;4.7;3.8
28/09/2018 07:00;6.6;4.6
28/09/2018 08:00;10.1;6
28/09/2018 09:00;12.4;6.3
28/09/2018 10:00;12.2;6.2
28/09/2018 11:00;11.2;6.1
28/09/2018 12:00;4.3;3.8
28/09/2018 13:00;3.4;3
28/09/2018 14:00;2.2;2.3
28/09/2018 15:00;4.7;2.6
28/09/2018 16:00;5.7;3.5
28/09/2018 17:00;6;4.1
28/09/2018 18:00;5.7;4.3
28/09/2018 19:00;9.1;6.1
28/09/2018 20:00;8.1;6.1
28/09/2018 21:00;8;6.7
28/09/2018 22:00;8;6.5
28/09/2018 23:00;7.6;5.8
28/09/2018 24:00;7.6;5.9
29/09/2018 01:00;8;5.3
29/09/2018 02:00;6.8;5.1
29/09/2018 03:00;7.1;5.5
29/09/2018 04:00;5.9;4.7
29/09/2018 05:00;5.2;4
29/09/2018 06:00;5.5;4.1
29/09/2018 07:00;5.2;4.7
29/09/2018 08:00;5.7;4.4
29/09/2018 09:00;9.7;5.8
29/09/2018 10:00;11.4;5.2
29/09/2018 11:00;10.2;3.5
29/09/2018 12:00;10.1;4.7
29/09/2018 13:00;10.5;5.6
29/09/2018 14:00;9;4.1
29/09/2018 15:00;7.8;3.2
29/09/2018 16:00;9;2.5
29/09/2018 17:00;6.7;2.4
29/09/2018 18:00;6.7;2.5
29/09/2018 19:00;5.9;2.5
29/09/2018 20:00;3.1;0.7
29/09/2018 21:00;9.4;2.8
29/09/2018 22:00;5.7;0.7
29/09/2018 23:00;12.3;4.3
29/09/2018 24:00;7.2;1.6
30/09/2018 01:00;5.3;1.4
30/09/2018 02:00;6.2;2.1
30/09/2018 03:00;3.7;2.5
30/09/2018 04:00;4.2;2.6
30/09/2018 05:00;4.2;2.8
30/09/2018 06:00;4.7;2.3
30/09/2018 07:00;4.2;2.6
30/09/2018 08:00;4.1;2.3
30/09/2018 09:00;5.6;3.6
30/09/2018 10:00;7.4;4.7
